"168.3993276928874+291.1040087908152","323.1040478029648+168.56619892926904",,,,,,,,,,,,,,,,,,
"328.1323425722796+244.15487893004584","369.7860930893489+349.1589842756869",,,,,,,,,,,,,,,,,,
